GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
discount calculate and currency exchange app,com.discountcalc.security.filters,JwtAuthenticationFilter,54,0,10,0,11,0,6,0,1,0
discount calculate and currency exchange app,com.discountcalc.exceptions,ExchangeRateServiceException,5,4,0,0,2,2,1,1,1,1
discount calculate and currency exchange app,com.discountcalc.exceptions,CurrencyNotFoundException,4,0,0,0,2,0,1,0,1,0
discount calculate and currency exchange app,com.discountcalc.models.responses,BillResponseDTO,0,9,0,0,0,1,0,1,0,1
discount calculate and currency exchange app,com.discountcalc.models.responses,ExchangeResponse,6,0,0,0,1,0,1,0,1,0
discount calculate and currency exchange app,com.discountcalc,DiscountFxApplication,5,3,0,0,2,1,1,1,1,1
discount calculate and currency exchange app,com.discountcalc.config,CacheConfig,0,25,0,0,0,7,0,2,0,2
discount calculate and currency exchange app,com.discountcalc.config,DiscountFxConfig,0,7,0,0,0,2,0,2,0,2
discount calculate and currency exchange app,com.discountcalc.config,SecurityConfig,61,0,0,0,17,0,4,0,4,0
discount calculate and currency exchange app,com.discountcalc.models.requests,BillRequestDTO,0,18,0,0,0,1,0,1,0,1
discount calculate and currency exchange app,com.discountcalc.models.requests,AuthRequest,9,0,0,0,1,0,1,0,1,0
discount calculate and currency exchange app,com.discountcalc.models.requests,UserDTO,0,9,0,0,0,1,0,1,0,1
discount calculate and currency exchange app,com.discountcalc.models.requests,BillRequestDTO.Item,0,12,0,0,0,1,0,1,0,1
discount calculate and currency exchange app,com.discountcalc.controllers,AuthController,6,0,0,0,1,0,1,0,1,0
discount calculate and currency exchange app,com.discountcalc.controllers,DiscountController,0,14,0,0,0,5,0,2,0,2
discount calculate and currency exchange app,com.discountcalc.services,CurrencyExchangeService,71,0,4,0,8,0,4,0,2,0
discount calculate and currency exchange app,com.discountcalc.services,AuthService,17,0,0,0,3,0,1,0,1,0
discount calculate and currency exchange app,com.discountcalc.services,DiscountService,0,96,2,6,0,22,2,8,0,5
discount calculate and currency exchange app,com.discountcalc.enums,UserType,0,21,0,0,0,4,0,1,0,1
discount calculate and currency exchange app,com.discountcalc.security,JwtUtil,146,0,8,0,31,0,11,0,7,0
